method,label,rationale,true_label,claim,correct
random,REFUTES,Random selection,NOT ENOUGH INFO,Kim Jong-il is North Korean.,False
random,REFUTES,Random selection,SUPPORTS,Shawn Carlson is American.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,T2 Trainspotting is set in and around Edinburgh Castle.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Cadet Kelly was a movie not released in 2002.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,Touchscreens are used in personal gaming computers.,False
random,REFUTES,Random selection,REFUTES,San Diego Comic-Con was not founded in 1970.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,The Gifted is a murderer.,False
random,SUPPORTS,Random selection,SUPPORTS,Starrcade was eventually broadcast via pay-per-view television.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Highway to Heaven is a comedy series.,False
random,SUPPORTS,Random selection,SUPPORTS,Sandra Bullock was an executive producer of George Lopez.,True
random,REFUTES,Random selection,SUPPORTS,"The Closer's seventh season began on July 11, 2011.",False
random,REFUTES,Random selection,REFUTES,Sora (Kingdom Hearts) works independently.,True
random,REFUTES,Random selection,SUPPORTS,Harold Macmillan was born in 1894.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,"South African Communist Party is a partner of an alliance between the African National Congress (ANC), the Congress of South African Trade Unions (COSATU) and the South African Communist Party (SACP).",False
random,SUPPORTS,Random selection,REFUTES,Trevor Griffiths is only a novelist.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,"Alexandra Daddario was not born on March 16, 1986.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,Bret Easton Ellis wrote the screenplay for an erotic comedy.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Leonard Nimoy is a husband.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Lou Gehrig married the greatest first baseman of all time.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,Goosebumps (film) was directed by Tim Burton.,False
random,NOT ENOUGH INFO,Random selection,SUPPORTS,John Deighton worked a Californian gold claim.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,The Cincinnati Kid stars Steve Jobs.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Tom DeLonge formed a band on a space station.,False
random,REFUTES,Random selection,SUPPORTS,"Make It or Break It ended in May 14th, 2012.",False
random,SUPPORTS,Random selection,SUPPORTS,Soyuz is still in existence.,True
random,NOT ENOUGH INFO,Random selection,REFUTES,Hedda Gabler's world premiere had zero attendance.,False
random,SUPPORTS,Random selection,REFUTES,Brick (film) is a mystery television show.,False
random,SUPPORTS,Random selection,REFUTES,Southampton F.C. is only a cricket club.,False
random,NOT ENOUGH INFO,Random selection,NOT ENOUGH INFO,Anne Rise resided in San Fransisco.,True
random,REFUTES,Random selection,NOT ENOUGH INFO,Omar Khadr was confined.,False
random,REFUTES,Random selection,NOT ENOUGH INFO,The Wallace mentions people that never existed.,False
random,NOT ENOUGH INFO,Random selection,REFUTES,The New York City Landmarks Preservation Commission includes zero architects.,False
random,REFUTES,Random selection,REFUTES,Taran Killam isn't an actor.,True
random,SUPPORTS,Random selection,REFUTES,José Ferrer only won a Tony Award in 1930.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Sayyeshaa starred in Tamil drama Akhil.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,In the End was a bowling ball.,False
random,SUPPORTS,Random selection,SUPPORTS,An American singer recorded I Kissed a Girl.,True
random,SUPPORTS,Random selection,NOT ENOUGH INFO,"Despacito had multiple versions as of May 5, 2016.",False
random,REFUTES,Random selection,NOT ENOUGH INFO,Renato Balestra studied for an architecture degree.,False
random,SUPPORTS,Random selection,NOT ENOUGH INFO,Despicable Me 2 was written by Quentin Tarantino.,False
random,SUPPORTS,Random selection,SUPPORTS,The 1974 crime film The Sugarland Express was co-written by Steven Spielberg.,True
random,REFUTES,Random selection,SUPPORTS,Aristotle spent time in Athens.,False
random,REFUTES,Random selection,REFUTES,Annette Badland played Bad Horse in The Sparticle Mystery.,True
